"BehaviorSpace results (NetLogo 7.0.3)","Spreadsheet version 2.0"
"turti8 preprof.nlogox"
"Exp_5"
"05/06/2026 11:01:48:766 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","13","13","13","13","13","13","13","13","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","21","21","21","21","21","21","21","21","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","23","24","24","24","24","24","24","24","24","25","25","25","25","25","25","25","25","26","26","26","26","26","26","26","26","27","27","27","27","27","27","27","27","28","28","28","28","28","28","28","28","29","29","29","29","29","29","29","29","30","30","30","30","30","30","30","30"
"preset-scenario","Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,,"Exp 5: Adaptive, Busiest, Long",,,,,,,
"[total steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[final value]","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)"
,"1000","3043","2576","198","6","143","0.3636361432508223","0.08040184562911838","1000","3608","1976","214","8","155","0.45180695674279714","0.0912364507150603","1000","3290","2224","201","5","151","0.4117644031144095","0.08663109617655068","1000","2738","2758","203","5","149","0.48113184852271296","0.13588747111474384","1000","3404","2072","220","5","167","0.5322577783560332","0.11073963914873002","1000","2790","2794","207","4","155","0.42207764800152725","0.1134448632175905","1000","3515","1874","229","6","175","0.4433495352957954","0.11088315724679361","1000","3030","2529","197","8","148","0.4304632910839132","0.11625626031409876","1000","3146","2368","214","4","160","0.5408160506040558","0.09509621691439872","1000","3503","2000","244","5","186","0.4457140310205537","0.12729502757929434","1000","2984","2551","216","5","167","0.4751378590398569","0.08165402779039144","1000","3226","2203","224","4","176","0.4999996666668889","0.09360993136394206","1000","2853","2722","199","5","150","0.36923048520731905","0.08852137761228673","1000","3535","2002","235","4","174","0.5209577718815737","0.11710281400120971","1000","3237","2226","212","6","166","0.43915320679724507","0.11369756209328401","1000","3158","2328","219","5","173","0.4946233899874247","0.10175536584627494","1000","3250","2183","212","4","164","0.3859646865703587","0.11680241030508409","1000","3671","1789","247","7","188","0.5031052775743617","0.11190822398041643","1000","3582","1962","236","5","181","0.4269660522662628","0.0934800078115586","1000","3258","2193","210","5","160","0.38624318188191437","0.1169842627272968","1000","3289","2089","190","5","142","0.38311663433984783","0.08762212534939805","1000","3094","2412","194","4","146","0.5073889126162991","0.10279155188246097","1000","2753","2746","205","4","161","0.4883718090861575","0.10618188406958458","1000","2791","2686","184","4","136","0.3925229976420583","0.13307061625243444","1000","3276","2306","206","4","154","0.5437496601564624","0.12080792944429307","1000","3340","2135","216","5","161","0.4943179009557381","0.09284793489338941","1000","3084","2443","205","4","157","0.428571106337514","0.10239280921099106","1000","3387","2112","232","5","186","0.4179101358879583","0.09384582589128045","1000","3139","2409","230","4","178","0.4413405355639466","0.1129483448502587","1000","3393","2138","250","6","196","0.4218746704104137","0.11174996720451269"
